82_line_1	90_line_2
82_line_2	90_line_1
82_line_3	90_line_88
82_line_4	90_line_3
82_line_5	90_line_17
82_line_6	90_line_20
82_line_7	90_line_30
82_line_8	90_line_7
82_line_9	90_line_89
82_line_10	90_line_10
82_line_11	90_line_39
82_line_12	90_line_26
82_line_14	90_line_251
82_line_16	90_line_52
82_line_17	90_line_21
82_line_18	90_line_103
82_line_20	90_line_33
82_line_21	90_line_48
82_line_27	90_line_31
82_line_28	90_line_252
82_line_32	90_line_60
82_line_34	90_line_90
82_line_35	90_line_27
82_line_36	90_line_51
82_line_37	90_line_242
82_line_38	90_line_253
82_line_39	90_line_110
82_line_40	90_line_35
82_line_41	90_line_43
82_line_42	90_line_241
82_line_43	90_line_254
82_polygon_1	90_polygon_50
82_polygon_2	90_polygon_7
82_polygon_3	90_polygon_19
82_polygon_4	90_polygon_18
82_polygon_5	90_polygon_15
82_polygon_6	90_polygon_21
82_polygon_7	90_polygon_20
82_polygon_8	90_polygon_2
82_polygon_9	90_polygon_3
82_polygon_10	90_polygon_4
82_polygon_11	90_polygon_5
82_polygon_12	90_polygon_32
82_polygon_13	90_polygon_22
82_polygon_14	90_polygon_36
82_polygon_15	90_polygon_28
82_polygon_16	90_polygon_24
82_polygon_17	90_polygon_12
82_polygon_18	90_polygon_13
82_polygon_19	90_polygon_14
82_polygon_20	90_polygon_11
82_polygon_21	90_polygon_25
82_polygon_22	90_polygon_23
82_polygon_23	90_polygon_10
82_polygon_24	90_polygon_9
82_polygon_25	90_polygon_37
82_polygon_26	90_polygon_45
82_polygon_27	90_polygon_46
82_polygon_28	90_polygon_6
82_polygon_29	90_polygon_26
82_polygon_30	90_polygon_27
82_polygon_31	90_polygon_39
82_polygon_32	90_polygon_40
82_polygon_35	90_polygon_29
82_polygon_36	90_polygon_35
82_polygon_37	90_polygon_30
82_polygon_38	90_polygon_31
82_polygon_39	90_polygon_43
82_polygon_40	90_polygon_54
82_polygon_41	90_polygon_16
82_polygon_42	90_polygon_56
82_polygon_43	90_polygon_57
82_polygon_44	90_polygon_42
82_polygon_45	90_polygon_33
82_polygon_46	90_polygon_17
82_polygon_48	90_polygon_8
82_polygon_49	90_polygon_44
82_polygon_50	90_polygon_53
82_polygon_51	90_polygon_52
82_polygon_53	90_polygon_51
82_polygon_54	90_polygon_38
82_polygon_55	90_polygon_41
82_polygon_56	90_polygon_58
82_polygon_57	90_polygon_55
